id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
0,Maison,Triel sur Seine,Nord et Ouest,8,4,230,630000
1,Appartement,Verneuil sur Seine,Clairieres,4,2,75.49,170000
2,Appartement,Meaux,Croix Saint Loup-Saint Nicolas,4,3,100.18,409500
3,Appartement,Carrières-sous-Poissy,Apollinaire,2,1,31,129000
4,Appartement,,,3,2,64,129000
5,Appartement,,,4,3,76.04,139000
6,Maison,Sannois,Gabriel Peri,7,4,185,599000
7,Appartement,Paris 16,Muette Nord,10,5,333,
8,Maison,Saint-Maur-des-Fossés,Champignol,6,4,170,1238000
9,Appartement,,,5,4,128.62,330000
10,Appartement,,,5,3,77,215000
11,Appartement,Poissy,Mairie,3,2,51.72,219000
12,Maison,Poissy,Gare,5,2,115,832000
13,Maison,,,6,4,120,559000
14,Maison,,,8,5,200,699000
15,Maison,Noisy-le-Grand,Varenne-Centre-Rive Charmante,10,6,350,1590000
16,Maison,,,5,3,126,315000
17,Appartement,Carrières-sous-Poissy,Le Village,2,1,29.98,129000
18,Maison,,,6,5,200,525000
19,Appartement,,,2,1,27.44,124000
20,Appartement,Paris 06,Rennes,2,1,41.08,630000
21,Maison,Pontoise,Hermmitage,6,4,140,347500
22,Appartement,Franconville,Stade,3,2,55,215250
23,Maison,,,8,5,263,675000
24,Maison,Chanteloup-les-Vignes,Le Bois Village,5,3,80,255700
25,Maison,Saint-Maur-des-Fossés,Champignol,6,4,170,1238000
26,Maison,Antony,Bois de Verrières-Coulée Verte-Parc Heller,7,5,136,860000
27,Appartement,,,5,4,128.62,330000
28,Maison,Lagny-sur-Marne,Clémenceau-Pointcaré Sud,5,4,110,359000
29,Appartement,Poissy,Mairie,3,2,51.72,219000
30,Appartement,Chilly-Mazarin,Plaine de Balizy,5,3,91.97,194000
31,Appartement,Orsay,Viaduc Est,5,3,94,450000
32,Maison,,,8,5,200,699000
33,Appartement,Carrières-sous-Poissy,Le Village,2,1,29.98,129000
34,Maison,,,6,5,200,525000
35,Maison,,,6,5,420,2400000
36,Appartement,Argenteuil,Val d'Argent Sud,4,3,64.42,175900
37,Maison,,,9,5,255,1080000
38,Maison,Paris 11,Belleville-Saint Maur,7,5,140,1850000
39,Maison,Chanteloup-les-Vignes,Le Bois Village,6,4,155,431500
40,Appartement,,,4,2,77.94,232500
41,Appartement,Saint-Ouen,Hugo-Payret-Zola,3,2,55,399000
42,Appartement,Carrières-sous-Poissy,Saint Blaise,2,1,36.15,154000
43,Maison,Montmagny,Carrieres Faucilles-Butte Pinson,9,5,265,670000
44,Maison,Vernouillet,Haut,7,5,170,595000
45,Maison,Sannois,Gabriel Peri,6,4,129.57,580000
46,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,5,4,106,472000
47,Maison,Montgeron,Chalandray-Cascades-Ferdinand Buisson,7,4,214,680000
48,Appartement,,,4,3,78,190000
49,Maison,Marcoussis,Centre,4,2,77,265000
50,Appartement,Paris 16,Porte Dauphine,7,4,264.6,3397000
51,Appartement,Sèvres,Bruyères-Acacias-Fonceaux,3,2,70.54,395000
52,Appartement,Poissy,Centrale,4,3,85.2,365000
53,Appartement,Saint-Cyr-l'École,Centre Ville,4,3,90.72,420000
54,Maison,Issy-les-Moulineaux,Epinettes,5,3,152,1820000
55,Appartement,Le Pré-Saint-Gervais,Anatole France,3,2,64.5,485000
56,Appartement,Le Mesnil-le-Roi,Sud,6,3,116.75,378000
57,Appartement,,,1,,22.61,156000
58,Maison,Houilles,Centre Ville,5,4,126,549000
59,Appartement,Montmorency,Centre Montmorency Centre,3,2,63.4,227000
60,Maison,Soisy-sous-Montmorency,Les Sources-Le Stade,9,5,260,949000
61,Appartement,La Garenne-Colombes,Chateau Ridel,3,2,63.96,502000
62,Appartement,Ermont,Ermont Eaubonne,3,2,60,329000
63,Appartement,Sainte-Geneviève-des-Bois,Cocheris,3,2,68.1,339200
64,Maison,Franconville,L'Epine Guyon,5,3,88.31,299500
65,Appartement,Thorigny-sur-Marne,Ouest Sud,3,2,70,190000
66,Appartement,Paris 18,Grandes Carrières-Clichy,4,2,81.74,1110000
67,Maison,,,7,4,200,499000
68,Appartement,,,2,1,32,109500
69,Maison,Meulan,Coteau Vexin,6,4,103,289500
70,Appartement,Epinay sur Seine,Ormesson-Jean Jaurès,4,2,73.45,178000
71,Appartement,Suresnes,Carnot Gambetta,3,2,73,670000
72,Appartement,Conflans-Sainte-Honorine,Romagne,5,2,80,239500
73,Maison,Conflans-Sainte-Honorine,Boutries,7,5,106.27,399000
74,Maison,Triel sur Seine,Sud,5,3,117,399893
75,Maison,Soisy-sous-Montmorency,Les Sources-Le Stade,9,5,260,949000
76,Appartement,La Garenne-Colombes,Chateau Ridel,3,2,63.96,502000
77,Appartement,Sainte-Geneviève-des-Bois,Cocheris,3,2,68.1,339200
78,Appartement,Taverny,Les Ecouardes,4,3,81.9,279800
79,Appartement,Paris 18,Grandes Carrières-Clichy,4,2,81.74,1110000
80,Maison,,,7,4,200,499000
81,Appartement,,,2,1,32,109500
82,Maison,Meulan,Coteau Vexin,6,4,103,289500
83,Appartement,Epinay sur Seine,Ormesson-Jean Jaurès,4,2,73.45,178000
84,Appartement,Suresnes,Carnot Gambetta,3,2,73,670000
85,Appartement,Conflans-Sainte-Honorine,Romagne,5,2,80,239500
86,Maison,Conflans-Sainte-Honorine,Boutries,7,5,106.27,399000
87,Maison,Triel sur Seine,Sud,5,3,117,399893
88,Appartement,Saint-Maur-des-Fossés,Le Vieux-Saint-Maur,3,2,58,310000
89,Appartement,Verneuil sur Seine,Richelieu,4,2,63,164000
90,Appartement,Saint-Gratien,Gare,3,2,71.98,260000
91,Appartement,Saint-Gratien,Le Petit Lac,3,2,89.92,355000
92,Appartement,Boulogne-Billancourt,Prince–Marmottan,3,2,74.36,630000
93,Maison,Triel sur Seine,Sud,8,5,170,499000
94,Maison,,,9,7,500,650000
95,Maison,,,10,6,600,1215000
96,Appartement,Paris 04,Ile Saint Louis,5,3,95,2800000
97,Appartement,,,5,3,77.91,398000
98,Maison,Nogent-sur-Marne,Beauté Baltard-Le Port,7,5,246,1480000
99,Maison,,,5,3,93,315385
100,Maison,,,10,6,300,1365000
101,Maison,Villemomble,Centre Ville,12,6,235,595000
102,Appartement,Puteaux,Front de Seine-Bellini,3,2,82,495000
103,Appartement,Maisons-Alfort,Les Planètes,3,2,50,265200
104,Appartement,,,2,1,35,175000
105,Appartement,Paris 18,Goutte d'Or-Château Rouge,2,1,51.4,625000
106,Appartement,Le Pré-Saint-Gervais,Belvedere,4,3,86,550000
107,Maison,Poissy,Les Capucines,6,4,104,569000
108,Appartement,Paris 15,Georges Brassens,2,1,41,440000
109,Appartement,Paris 01,Palais Royal,5,3,155.63,2670000
110,Appartement,Achères,Chene Feuillu,4,2,82.61,275000
111,Maison,Poissy,Les Capucines,6,4,160,775000
112,Appartement,Garches,Porte Jaune,5,3,116,748000
113,Appartement,Paris 18,Montmartre,2,1,31,395000
114,Appartement,Paris 18,Montmartre,2,1,38,530000
115,Appartement,Saint-Germain-en-Laye,Forêt,5,3,110.76,630000
116,Appartement,,,2,1,49,183600
117,Appartement,Taverny,Les Ecouardes,4,3,81.9,279800
118,Appartement,Colombes,Petit Colombes-Charles de Gaulle,4,2,75,509500
119,Maison,Herblay,La Patte d'Oie-Les Copistes,7,4,131,479000
120,Appartement,Louveciennes,Le Plateau,3,2,55,247000
121,Appartement,Saint-Gratien,Le Petit Lac,3,2,89.92,355000
122,Appartement,Boulogne-Billancourt,Prince–Marmottan,3,2,74.36,630000
123,Maison,,,7,5,320,676000
124,Maison,,,5,3,93,315385
125,Appartement,,,4,2,112,975000
126,Appartement,Achères,Montsouris,3,2,59.32,239000
127,Appartement,Savigny-le-Temple,Plessis la Forêt,4,3,89.13,175000
128,Maison,,,8,4,221,670000
129,Appartement,Paris 11,Bastille-Popincourt,3,2,99,1030000
130,Maison,Romainville,Ormes,4,3,137,585000
131,Maison,,,10,8,160,438000
132,Maison,,,3,1,64,289000
133,Appartement,Paris 06,Monnaie,3,2,85.5,1450000
134,Maison,Savigny-le-Temple,Centre,7,5,150,389000
135,Maison,Marly-le-Roi,L'Auberderie,10,6,280,1580000
136,Maison,,,6,4,120,425000
137,Appartement,Villeneuve-la-Garenne,Jean Moulin,2,1,49,175000
138,Maison,Mennecy,La Verville Ouest,6,4,144,447000
139,Appartement,Choisy-le-Roi,Gondoles Nord I,3,2,57.15,254400
140,Appartement,Paris 18,Clignancourt-Jules Joffrin,2,1,40,445000
141,Appartement,Paris 12,Jardin de Reuilly,4,3,67,645000
142,Appartement,Paris 16,Muette Nord,8,5,350,5950000
143,Appartement,Paris 10,Porte Saint Denis-Paradis,4,2,72.88,1050000
144,Appartement,Paris 16,Muette Sud,5,3,104.8,1300000
145,Appartement,Aubergenville,Bois Bodin-Haut du Parc,4,2,66.16,129000
146,Appartement,Paris 03,Arts et Métiers,3,2,73.75,1330000
147,Maison,,,9,6,196,565000
148,Appartement,Paris 17,La Fourche-Guy Môquet,1,,27,286000
149,Maison,La Garenne-Colombes,Champs Philippe Sud,5,3,171,1428860
150,Maison,Magnanville,Centre,6,4,95,249000
151,Maison,,,2,1,46,159900
152,Appartement,Nanterre,Vieux Pont,4,3,79,392000
153,Appartement,Achères,Montsouris,3,2,59.32,239000
154,Appartement,Savigny-le-Temple,Plessis la Forêt,4,3,89.13,175000
155,Maison,Montmorency,Haut Montmorency Est,7,5,220,638000
156,Maison,Parmain,Sud,5,3,100,292500
157,Maison,,,7,6,240,675000
158,Appartement,Paris 11,Bastille-Popincourt,3,2,99,1030000
159,Appartement,Torcy,Beauregard-Les Gradins,3,2,56,213300
160,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,3,2,66,419000
161,Maison,Savigny-le-Temple,Centre,7,5,150,389000
162,Maison,,,7,4,190,445000
163,Maison,Marly-le-Roi,L'Auberderie,10,6,280,1580000
164,Appartement,,,6,3,197.39,2547000
165,Maison,Argenteuil,Centre Ville-Calais,3,2,70,255000
166,Appartement,Paris 16,Porte Dauphine,3,2,87.65,1160000
167,Maison,,,6,4,120,425000
168,Appartement,Issy-les-Moulineaux,Epinettes,4,3,107.38,820000
169,Appartement,Villeneuve-la-Garenne,Jean Moulin,2,1,49,175000
170,Appartement,Paris 14,Montsouris Dareau,1,,36,370000
171,Appartement,Argenteuil,Val Notre Dame-La Tour Billy,3,2,56,220000
172,Maison,Nemours,Mairie-Centre Nord,5,3,180,315000
173,Maison,Savigny-le-Temple,Le Bourg,3,2,67,222900
174,Appartement,Sartrouville,Les Trembleaux,2,1,40.83,200000
175,Maison,Villecresnes,Grosbois,4,3,79.62,339500
176,Appartement,Achères,Plantes d'Ennemont,3,2,59,252000
177,Appartement,Villecresnes,La Gare,4,3,80,245500
178,Maison,Osny,Immarmont,6,4,145,490000
179,Maison,Suresnes,Plateau Nord,9,5,197,1440000
180,Appartement,Paris 09,Trudaine-Maubeuge,8,5,234.69,2900000
181,Appartement,Vitry-sur-Seine,Vitry Sud-Ardoines,5,4,92,445000
182,Appartement,Nanterre,Chemin de l'ile,4,3,87,465000
183,Appartement,Paris 17,Péreire-Malesherbes,8,6,305,3395000
184,Maison,Moissy-Cramayel,Maillettes-Noyer Perrot,6,5,110,289900
185,Maison,,,2,1,46,159900
186,Appartement,Nanterre,Vieux Pont,4,3,79,392000
187,Appartement,Antony,Bois de Verrières-Coulée Verte-Parc Heller,4,3,98,780000
188,Appartement,Poissy,Mairie,3,2,66,253000
189,Maison,Le Raincy,Thiers,10,5,550,1350000
190,Appartement,Carrières-sous-Poissy,Apollinaire,2,1,33,146500
191,Maison,,,10,4,350,1650000
192,Appartement,Neuilly-sur-Seine,Charles Laffitte,7,5,256,4050000
193,Appartement,Paris 08,Parc Monceau,10,6,354,5450000
194,Appartement,Clamart,Plaine,4,3,84.3,379000
195,Maison,Issy-les-Moulineaux,Jules Guesde Montesy,5,3,310,1768000
196,Maison,Carrières-sous-Poissy,Le Village,8,5,176,630000
197,Appartement,Torcy,Beauregard-Les Gradins,3,2,65,195000
198,Appartement,,,3,2,83,1100000
199,Appartement,Antony,Bois de Verrières-Coulée Verte-Parc Heller,4,3,94,590000
200,Appartement,Carrières-sous-Poissy,Les Arpents du Prieur,3,2,64,180000
201,Appartement,,,3,2,59.29,229000
202,Appartement,Paris 10,Chateau d'Eau-Lancry,3,2,62,645000
203,Maison,,,6,4,140,398000
204,Appartement,Ermont,Jules Ferry,3,2,71,220000
205,Maison,,,6,5,200,525000
206,Maison,Draveil,Villiers-Danton-La Villa,12,7,365,795000
207,Appartement,,,5,4,228,5000000
208,Appartement,Meaux,La Corniche-Frot-Saint Faron-Clémenceau,2,1,37.37,149500
209,Maison,Groslay,Glaisieres,5,3,104.6,379000
210,Appartement,Villebon-sur-Yvette,Centre Ville,3,2,70.62,229000
211,Appartement,Bagnolet,Plateau-Gambetta,4,3,110,438000
212,Maison,,,12,6,380,1245000
213,Appartement,Cergy,Chat Perche Sud,3,2,72.27,169900
214,Maison,Nanteuil-Lès-Meaux,Sud,5,3,95,213000
215,Appartement,Eaubonne,Les Franchises,4,2,60,179000
216,Maison,Melun,Centre,9,6,185,595000
217,Maison,Palaiseau,Lozère,7,5,197,795000
218,Maison,Sartrouville,Le Val-Notre Dame,3,2,60,265000
219,Maison,Vaureal,Sablons-Ombrages-Moissons,7,5,178,491625
220,Appartement,Paris 18,Amiraux-Simplon-Poissonniers,2,1,43,399500
221,Appartement,La-Celle-Saint-Cloud,La Jonchère-Les Sablons,5,4,103.5,395000
222,Maison,Chatou,Côté Croissy,10,6,315,2475000
223,Appartement,Paris 14,Raspail-Montparnasse,3,1,90,1785000
224,Maison,Le Perreux-sur-Marne,L'Ile de la Roche,7,4,250,2250000
225,Maison,Vernouillet,Haut,5,4,105,355000
226,Maison,Triel sur Seine,Nord et Ouest,9,6,280,598500
227,Maison,Carrières-sous-Poissy,Les Fleurs,4,2,106,346000
228,Maison,,,9,5,320,850000
229,Maison,Meaux,Centre Ville-Cathédrale-Marché-Grande ile-Clos Godet,9,5,280,895000
230,Appartement,Neuilly-sur-Seine,La Plaine des Sablons,5,3,179,4635000
231,Maison,,,4,3,97.16,350000
232,Appartement,Ivry-sur-Seine,Ivry Port Centre,4,3,171,960000
233,Appartement,Chilly-Mazarin,Pavillons Sud,3,2,60,194000
234,Appartement,Paris 04,Arsenal,5,3,228,3300000
235,Appartement,Meudon,Bas Meudon,5,3,102,798000
236,Appartement,Poissy,ZAC Saint Sebastien,4,2,84.47,349000
237,Appartement,,,3,2,61,259000
238,Maison,,,5,3,90.75,328600
239,Appartement,,,2,1,35,109000
240,Maison,Rueil-Malmaison,Centre Ville,7,5,206,1485000
241,Appartement,Paris 01,Palais Royal,5,2,171,
242,Maison,Bourg-la-Reine,La Faiencerie-Le Clos Saint Cyr,6,3,179,1350000
243,Maison,Savigny-le-Temple,Parc des Sports,6,5,110,289900
244,Maison,L'Isle-Adam,Le Haut de l'Isle-Adam,9,3,339,1133000
245,Appartement,Paris 14,Didot-Porte de Vanves,3,1,65,650000
246,Appartement,Vanves,Louis Vicat,3,2,71,497000
247,Appartement,Cergy,Le Point du Jour-Centre Gare,3,2,59.35,179000
248,Appartement,,,3,1,59.03,179000
249,Maison,,,7,4,150,560000
250,Appartement,Argenteuil,Val Notre Dame-La Tour Billy,4,3,76,240000
251,Appartement,Carrières-sous-Poissy,Le Village,3,2,61.09,254000
252,Maison,L'Isle-Adam,Le Haut de l'Isle-Adam,6,5,300,650000
253,Maison,Verrieres le Buisson,Res de la Poste-Res du Bois,10,7,318.38,1610000
254,Appartement,Courbevoie,Gambetta,4,2,70,515000
255,Maison,Jouy le Moutier,Ecancourt,6,4,110,342000
256,Appartement,Vernouillet,Centre Bas,2,1,37,129320
257,Appartement,Vanves,Jean Jaurès,3,2,71,470000
258,Appartement,Créteil,Cimetiere,4,3,65,205000
259,Appartement,Sartrouville,Le Fresnay-Vieux Pays,2,1,53,230000
260,Maison,Montmorency,Haut Montmorency Est,7,4,200,795000
261,Maison,Carrières-sous-Poissy,Les Arpents du Prieur,5,3,89.96,269000
262,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,4,3,81,399000
263,Appartement,Carrières-sous-Poissy,Le Village,3,2,64,262000
264,Maison,Chanteloup-les-Vignes,L'Est,5,3,95,349000
265,Maison,Carrières-sous-Poissy,Saint Blaise,5,4,111.84,439000
266,Appartement,Paris 17,Legendre-Lévis,4,3,102.95,850000
267,Appartement,,,2,1,48,495000
268,Appartement,Saint-Mandé,Notre Dame,2,1,64,625000
269,Appartement,Saint-Ouen,Dock Saint Ouen,3,2,65,465000
270,Appartement,Sartrouville,La Vaudoire-Centre Ville,5,3,78.25,325000
271,Appartement,Paris 20,Télégraphe-Pelleport Saint Fargeau,3,2,56,570000
272,Appartement,Poissy,Les Sablons,3,2,47,129000
273,Appartement,Chatou,Europe-Nord,3,2,82.19,299000
274,Maison,Suresnes,Plateau Nord,11,6,314,1840000
275,Maison,,,8,5,161,770000
276,Appartement,Paris 08,Elysées-Madeleine,6,4,175,2600000
277,Maison,Brétigny-sur-Orge,Centre Ville,12,6,290,790000
278,Maison,,,7,5,170,540800
279,Appartement,Paris 08,Triangle d'Or,4,2,102,1590000
280,Maison,Joinville-le-Pont,Moutier,10,5,231,1040000
281,Appartement,Paris 20,Télégraphe-Pelleport Saint Fargeau,3,2,79,677500
282,Appartement,Poissy,Racine,3,2,59,149000
283,Maison,Etampes,Saint Michel,10,6,305,518000
284,Maison,,,9,5,250,825000
285,Appartement,Verneuil sur Seine,Clairieres,4,3,78,199900
286,Appartement,,,1,,35.33,149000
287,Maison,,,8,5,240,750000
288,Appartement,Issy-les-Moulineaux,Epinettes,4,3,107.38,799000
289,Appartement,Paris 17,La Fourche-Guy Môquet,2,1,40,400000
290,Appartement,Lagny-sur-Marne,Tassigny-Leclerc Centre,2,1,37,149000
291,Appartement,Lagny-sur-Marne,Déviation route Nationale Nord,4,2,90,220000
292,Appartement,Paris 16,Chaillot,2,1,33,595000
293,Maison,Noisy-le-Grand,Grenouillère-Marnois-Rive de Marne,8,5,236,1090000
294,Appartement,Achères,Centre Ville,3,2,68,239000
295,Appartement,Paris 12,Bel-Air Nord,2,1,58,535000
296,Maison,Poissy,Gare,7,4,168,649000
297,Appartement,Montreuil,Bas Montreuil-République,3,2,49,349000
298,Appartement,Versailles,Clagny-Glatigny,4,3,91,520000
299,Maison,,,5,3,150,399000
300,Appartement,,,1,,35.33,149000
301,Maison,,,6,4,276,598000
302,Maison,,,8,5,240,750000
303,Maison,,,7,4,150,560000
304,Maison,L'Isle-Adam,Le Haut de l'Isle-Adam,6,5,300,650000
305,Maison,Jouy le Moutier,Ecancourt,6,4,110,342000
306,Appartement,Vernouillet,Centre Bas,2,1,37,129320
307,Appartement,Créteil,Cimetiere,4,3,65,205000
308,Appartement,Paris 16,Chaillot,2,1,33,595000
309,Maison,Noisy-le-Grand,Grenouillère-Marnois-Rive de Marne,8,5,236,1090000
310,Appartement,Achères,Centre Ville,3,2,68,239000
311,Appartement,Paris 12,Bel-Air Nord,2,1,58,535000
312,Maison,Poissy,Gare,7,4,168,649000
313,Appartement,Montreuil,Bas Montreuil-République,3,2,49,349000
314,Maison,,,5,3,150,399000
315,Appartement,,,3,2,87,1250000
316,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,4,3,81,399000
317,Appartement,Saint-Mandé,Victor Hugo,5,4,103,995000
318,Maison,Lognes,Bois de la Grange-Village de Lognes,4,3,80.07,331600
319,Appartement,Paris 17,Legendre-Lévis,4,3,102.95,850000
320,Appartement,,,2,1,48,495000
321,Appartement,Paris 20,Télégraphe-Pelleport Saint Fargeau,3,2,56,570000
322,Appartement,,,4,3,82.96,271000
323,Maison,,,15,7,700,1900000
324,Appartement,Les Ulis,Anjou,5,3,95.25,189000
325,Appartement,Chatou,Europe-Nord,3,2,66,289900
326,Appartement,Puteaux,Pressensé-Rives de Seine,3,2,55.15,458000
327,Maison,,,5,3,198,713000
328,Maison,,,8,5,161,770000
329,Maison,Le Vésinet,Lac Inferieur,12,6,450,2995000
330,Maison,Brétigny-sur-Orge,Centre Ville,12,6,290,790000
331,Maison,,,6,4,135,399500
332,Maison,Chanteloup-les-Vignes,Le Bois Village,7,6,110,359000
333,Appartement,Carrières-sous-Poissy,Saint Blaise,3,2,59.9,234000
334,Maison,Pantin,Haut Pantin-Charles Auray,8,5,231,1127000
335,Maison,Triel sur Seine,Nord et Ouest,5,3,98,368500
336,Maison,,,7,5,153,484000
337,Appartement,Paris 11,Bastille-Popincourt,2,1,48,670000
338,Maison,Corbeil-Essonnes,Rive Droite-Apport Paris Gare,9,7,250,462000
339,Appartement,Villejuif,Centre Ville Sud,5,3,79,359000
340,Maison,Melun,Trois Moulins,5,3,115,346500
341,Maison,,,8,4,185,571000
342,Maison,Franconville,Stade,7,5,150,599000
343,Appartement,Carrières-sous-Poissy,Saint Blaise,3,2,63,219000
344,Appartement,Villejuif,Centre Ville Ouest,3,2,61.18,399900
345,Maison,Achères,Montsouris,5,3,78,299000
346,Appartement,Paris 08,Elysées-Madeleine,7,4,180.34,1895000
347,Maison,,,8,6,300,700000
348,Appartement,Bezons,Val Nord,3,2,78,249000
349,Maison,Epone,Centre Bourg,6,4,120,332000
350,Maison,Ermont,Cernay,5,4,104.22,416000
351,Appartement,Paris 13,Salpêtrière-Austerlitz,2,1,52.65,585000
352,Maison,Triel sur Seine,Nord et Ouest,6,4,127,459900
353,Appartement,Chilly-Mazarin,Pavillons Sud,5,3,107.82,398000
354,Appartement,Eragny,La Butte-Le Grillon-Hautes Bornes,5,3,94,260400
355,Maison,,,7,5,200,699000
356,Appartement,Antony,Bois de Verrières-Coulée Verte-Parc Heller,4,3,88,495000
357,Maison,,,6,4,142.65,499000
358,Appartement,,,3,2,73.75,1330000
359,Appartement,Paris 06,Odéon,5,4,163.73,2990000
360,Appartement,Fresnes,Peupleraie,4,3,78.48,325000
361,Appartement,Paris 10,Saint Vincent de Paul-Lariboisière,,,,199500
362,Appartement,Paris 15,Vaugirard-Parc des Expositions,3,2,74.73,811200
363,Appartement,Torcy,Beauregard-Les Gradins,3,2,64.41,225000
364,Appartement,Sceaux,Vieux Sceaux-Curie,3,1,52.24,385000
365,Maison,,,12,6,420,799000
366,Maison,Triel sur Seine,Centre,9,6,280,850000
367,Maison,,,14,11,380,705000
368,Appartement,Poissy,La Bruyere,3,2,55.59,269900
369,Maison,Saint-Michel-sur-Orge,Lormoy,6,4,120,370000
370,Maison,Mitry-Mory,Centre,7,4,166,580000
371,Appartement,Asnières-sur-Seine,Centre-Voltaire,3,2,57,360000
372,Maison,Eaubonne,Le Bois du Luat,6,4,200,1130000
373,Maison,Vitry-sur-Seine,Vitry Sud-Ardoines,5,4,187,735000
374,Maison,Carrières-sous-Poissy,Saint Blaise,5,3,140,483000
375,Appartement,Arcueil,Barbusse,3,1,60,350000
376,Appartement,Paris 11,Nation-Alexandre Dumas,4,2,73,932000
377,Appartement,Antony,Noyer Doré-Pajeaud-Fontaine Michalon,3,2,73.74,340000
378,Appartement,Stains,L'Avenir,4,2,64,195000
379,Appartement,Vernouillet,Centre Bas,4,2,58,159900
380,Maison,Ormesson-sur-Marne,Ouest,6,5,355,1250000
381,Maison,,,4,3,52.12,181000
382,Appartement,Vanves,Bleuzen,3,2,52.71,333000
383,Maison,L'Isle-Adam,Nogent-Cassan,5,3,185,700000
384,Appartement,Saint-Fargeau-Ponthierry,Cités Leroy,2,1,43.64,144000
385,Appartement,Courbevoie,Gambetta,4,3,85,540000
386,Appartement,Noisy-le-Sec,Boissière,4,3,76,289000
387,Appartement,Vélizy-Villacoublay,Mozart Ouest,4,3,80,316000
388,Maison,Champigny-sur-Marne,Tremblay,5,3,89.6,367500
389,Maison,,,6,4,112,238500
390,Appartement,Paris 15,Emeriau-Zola,4,3,82,1295000
391,Maison,Montigny-Lès-Cormeilles,République,5,2,115,680000
392,Appartement,Paris 04,Arsenal,2,1,60,799000
393,Appartement,Paris 20,Belleville,3,2,59.25,643000
394,Maison,Gagny,Président Pompidou Sud,5,3,189,539000
395,Appartement,Achères,Plantes d'Ennemont,2,1,28,135000
396,Maison,Le Vésinet,Sud RER,10,7,417,3800000
397,Maison,Vernouillet,Haut,9,6,230,635000
398,Maison,,,9,6,324,1195000
399,Appartement,Chatou,Europe-Nord,4,2,80,299000
400,Appartement,Paris 15,Dupleix-Motte Picquet,3,2,70,1135000
401,Appartement,Paris 16,Porte Dauphine,8,4,262,5980000
402,Maison,Coulommiers,Centre Ville Centre et Nord,9,5,295,329000
403,Maison,,,6,4,165,576000
404,Appartement,Paris 03,Enfants Rouges,3,2,69,855000
405,Appartement,Saint-Ouen,Dock Saint Ouen,3,2,62.61,395000
406,Maison,,,8,4,300,690000
407,Appartement,,,4,3,119.7,288000
408,Maison,,,7,4,270,680000
409,Maison,Brétigny-sur-Orge,Carouge Joncs Marins,7,4,212,784000
410,Maison,,,7,4,240,668000
411,Maison,,,8,4,186,499000
412,Maison,,,6,4,167,354000
413,Maison,Montigny-Lès-Cormeilles,Village,6,4,125.35,520000
414,Maison,,,4,3,81,320000
415,Maison,Saint-Maur-des-Fossés,La Varenne,6,4,225,1650000
416,Maison,Achères,Plantes d'Ennemont,5,4,120,379000
417,Appartement,Carrières-sous-Poissy,Le Village,3,2,66,309000
418,Maison,,,8,4,209,540000
419,Maison,Chanteloup-les-Vignes,L'Ouest,5,3,122,372000
420,Maison,,,8,1,300,669000
421,Appartement,Poissy,Meissonier,3,2,64,159000
422,Appartement,Versailles,Chantiers-Prochefontaine,3,2,66,340000
423,Appartement,Mantes-la-Jolie,Bretonneaux,3,2,55,119000
424,Appartement,Fontenay-le-Fleury,Hôtel de Ville-Beaumarchais,3,2,62,254000
425,Appartement,Saint-Ouen,Dock Saint Ouen,3,2,62.61,395000
426,Maison,,,8,4,300,690000
427,Appartement,,,4,3,119.7,288000
428,Maison,,,7,4,270,680000
429,Maison,Brétigny-sur-Orge,Carouge Joncs Marins,7,4,212,784000
430,Appartement,Vaureal,Marniere-Les Gros-allée Couverte,3,2,59.5,226000
431,Appartement,Chilly-Mazarin,Pavillons Sud,2,1,51,158000
432,Maison,,,7,5,330,735000
433,Maison,Ozoir-la-Ferrière,Poirier-Clos de la Vigne,15,7,350,1150000
434,Maison,Chevilly Larue,Bretagne,9,7,240,699000
435,Maison,,,8,5,235,699000
436,Appartement,Argenteuil,Val Notre Dame-Ambroise Thomas,3,2,63.37,224500
437,Maison,Crosne,Le Stade,5,4,176,495000
438,Maison,Cergy,Port Ham-Village,9,6,350,774800
439,Maison,,,4,3,81,320000
440,Maison,L'Haÿ-les-Roses,La Vallée Aux Renards,7,5,195,885000
441,Maison,Saint-Maur-des-Fossés,La Varenne,6,4,225,1650000
442,Maison,Achères,Plantes d'Ennemont,5,4,120,379000
443,Maison,,,10,6,344,624000
444,Appartement,Argenteuil,Centre Ville-Basilique,4,3,75,240000
445,Appartement,Deuil-la-Barre,Centre-Cote,3,2,62.27,205000
446,Appartement,Antony,Noyer Doré-Pajeaud-Fontaine Michalon,3,2,61.9,327000
447,Appartement,,,5,3,108.1,451500
448,Appartement,Paris 05,Sorbonne,2,1,46,575000
449,Appartement,Saint-Maur-des-Fossés,La Pie,3,2,67.09,278000
450,Appartement,Antony,La Fontaine-Parc des Sceaux-Croix de Berny-Centre Ville,5,4,106.31,635000
451,Maison,Lagny-sur-Marne,Clémenceau-Pointcaré Sud,7,5,125,572400
452,Maison,,,5,3,115.47,263000
453,Maison,Verneuil sur Seine,Cité SNCF,4,2,75,259500
