id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4335,Maison,,,5,3,142,274900
4336,Appartement,,,3,2,66.55,275900
4337,Maison,Nanterre,Centre,8,5,170,795000
4338,Appartement,Clamart,Jardin Parisien,3,2,63,400000
4339,Appartement,Paris 10,Porte Saint Denis-Paradis,3,2,87,995000
4340,Maison,Herblay sur Seine,Les Courlains-Les Cailloux Gris,5,3,84.97,249000
4341,Appartement,Paris 14,Montsouris Dareau,2,1,26,300000
4342,Appartement,Fontenay-sous-Bois,Bois Clos d'OrlEans,3,2,51,409000
4343,Appartement,Nanterre,Centre,5,2,84.88,349000
4344,Appartement,,,4,3,85,129000
4345,Appartement,Nogent-sur-Marne,Beauté Baltard-Sous Préfecture,2,1,49.07,325000
4346,Appartement,Le Pré-Saint-Gervais,Stalingrad,3,2,40,150000
4347,Appartement,,,2,1,44,340000
4348,Maison,,,4,3,95,281000
4349,Appartement,Paris 11,Belleville-Saint Maur,2,1,28,285000
4350,Appartement,Yerres,Cancy-Grands Godeaux-Bellevedere,4,2,84,315500
4351,Maison,Rambouillet,Dreyfus Pont Hardy,5,4,100,231000
4352,Appartement,Vanves,Centre Ancien,3,2,65,528000
4353,Appartement,Taverny,Les Sarments,2,1,53,155150
4354,Maison,Pontault-Combault,Bois Notre Dame,4,3,80,345000
4355,Maison,,,3,2,60,246000
4356,Appartement,Evry,Village,1,,37.33,135000
4357,Maison,Bezons,Nouveau Bezons,2,1,60,275000
4358,Appartement,Morangis,Ormeteau,3,2,61.3,208500
4359,Appartement,Morangis,Ormeteau,2,1,43.6,155000
4360,Appartement,Clamart,Centre,3,2,64,428000
4361,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Gare,2,1,49.7,406000
4362,Appartement,,,1,,27.61,96000
4363,Appartement,Fontenay-le-Fleury,Hôtel de Ville-Beaumarchais,3,1,56.5,178000
4364,Maison,Rambouillet,Dreyfus Pont Hardy,8,6,167,298200
4365,Appartement,Paris 15,Emeriau-Zola,4,3,122,1320000
4366,Appartement,Paris 15,Emeriau-Zola,3,2,90,878000
4367,Maison,Gargenville,Centre,4,2,79,252000
4368,Maison,Dammarie les Lys,Chateau Gaillard,9,6,193,289000
4369,Appartement,Issy-les-Moulineaux,Corentin Celton,1,,29.32,298000
4370,Maison,Triel sur Seine,Sud,7,5,165,418900
4371,Appartement,Paris 20,Gambetta,2,1,45.15,445000
4372,Appartement,Paris 17,Clichy-Batignolles,5,3,90,849000
4373,Appartement,Levallois-Perret,Ile de la Jatte-Square Baudin,3,2,59,750000
4374,Appartement,Dugny,Le Bourget,4,3,80,232000
4375,Appartement,Dugny,Le Bourget,3,2,72,222000
4376,Appartement,Puteaux,Bergère-Moulin,4,3,82,660000
4377,Appartement,Les Pavillons-sous-Bois,Emile Zola,3,2,74,249000
4378,Appartement,Louvres,Sud et Est,,,,114000
4379,Maison,,,5,3,100,129000
4380,Appartement,Champigny-sur-Marne,Maroc,4,2,62,195000
4381,Maison,,,5,3,90,297150
4382,Maison,,,7,5,150,278000
4383,Appartement,Les Ulis,Anjou,2,1,42.21,164000
4384,Appartement,Le Perreux-sur-Marne,L'Ile de la Roche,1,,23.73,198000
4385,Appartement,,,2,1,27.5,101650
4386,Appartement,Rueil-Malmaison,Centre Ville,3,2,60,377000
4387,Appartement,Paris 03,Archives,2,1,38,660000
4388,Appartement,Puteaux,Bergère-Moulin,4,3,78,607000
4389,Appartement,Maisons-Alfort,Charentonneau,2,1,38,275000
4390,Maison,,,5,3,94,199000
4391,Appartement,Puteaux,Bergère-Moulin,3,2,75,530000
4392,Appartement,Etampes,Centre Ville,4,3,74,128700
4393,Appartement,Le Plessis-Trévise,Gambetta,4,3,86.17,355000
4394,Maison,Auvers-sur-Oise,Les Berthelées-Les Coteaux-Les Perruchet,6,3,137,346000
4395,Maison,,,4,2,120,181000
4396,Maison,Rambouillet,Beausoleil-Grenonvilliers,6,3,115,220500
